"sr_no","inclination","ambient_temp","speed","weight","battery_level","battery temperature","time","Battery_rating","charging_cycle","acceleration","battery_current","battery_voltage","humidity"
"16797","10.09","0","0","460.53","0","19.64","252984","10000","1","1.72","0.46","12","0"
"16798","46.09","0","0","527.07","0","19.54","254213","10000","1","0.56","0.49","12","0"
"16799","45.88","0","0","164.82","0","22.46","255900","10000","1","1.32","0.57","12","0"
"16800","66.38","0","0","254.12","0","21.64","257851","10000","1","0.06","0.65","12","0"
"16801","67.71","0","0","-198.52","0","19.64","259566","10000","1","-4.82","0.65","11.99","0"
"16802","22.47","0","0","-23.47","0","21.09","261114","10000","1","1.29","0.46","12","0"
"16803","39.72","0","0","29.38","0","18.92","262656","10000","1","-2.63","0.52","12","0"
"16804","70.63","0","0","-380.99","0","21.18","264027","10000","1","0.38","0.37","12","0"
"16805","62.06","0","0","188.37","0","20.99","265533","10000","1","-1.06","0.52","12","0"
"16806","66.05","0","0","-64.95","0","20.52","267992","10000","1","-0.01","0.48","12","0"
"16807","26.9","0","0","-167.6","0","19.13","269431","10000","1","5.64","1.28","11.52","0"
"16808","32.75","0","0","-168.87","0","21.92","270895","10000","1","4.12","0.82","12","0"
"16809","33.4","0","0","433.94","0","21.92","272196","10000","1","-1.74","0.6","12","0"
"16810","21.4","0","0","168.65","0","19.34","273715","10000","1","-0.26","0.78","12","0"
"16811","58.99","0","0","32.22","0","18.49","274885","10000","1","1","0.86","12","0"
"16812","41.1","0","0","-76.37","0","18.49","277492","10000","1","2.25","0.36","12","0"
"16813","49.11","0","0","-358.51","0","21.27","279260","10000","1","4.78","0.87","11.77","0"
"16814","38.2","0","0","129.37","0","22.01","280924","10000","1","1.52","0.67","12","0"
"16815","55.45","0","0","-46.69","0","18.6","282430","10000","1","3.47","0.57","12","0"
"16816","36.46","0","0","50.73","0","21.18","284118","10000","1","-2.59","0.71","12","0"
"16817","27.35","0","0","301.63","0","19.44","285700","10000","1","6.6","2.62","10.36","0"
"16818","-2.82","0","0","-55.12","0","21.18","287955","10000","1","-0.22","0","12","0"
"16819","31.4","0","0","98.76","0","21.64","290011","10000","1","-1.78","0","12","0"
"16820","44.11","0","0","305.94","0","20.42","291809","10000","1","1.7","1.91","10.25","0"
"16821","22.74","0","0","-171.94","0","20.71","293267","10000","1","0.14","1.24","11.07","0"
"16822","49.31","0","0","-466.61","0","21.64","294693","10000","1","-1","0.61","12","0"
"16823","43","0","0","-178.77","0","21.27","297846","10000","1","-1.58","0.84","11.99","0"
"16824","66.11","0","0","-372.43","0","20.9","299452","10000","1","-0.7","0.53","11.98","0"
"16825","41.1","0","0","-121.84","0","22.28","301168","10000","1","2.28","0.58","11.99","0"
"16826","31.13","0","0","-163.89","0","21.73","303141","10000","1","0.07","0.5","11.99","0"
"16827","51.33","0","0","-206.01","0","20.9","305196","10000","1","2.84","0.67","12","0"
"16828","74.26","0","0","-312.56","0","22.37","307201","10000","1","-0.35","0.44","12","0"
"16829","72.89","0","0","-160.08","0","18.81","309160","10000","1","-1.37","0.51","12","0"
"16830","53.15","0","0","7.62","0","21.09","310707","10000","1","1.26","0.36","12","0"
"16831","15.75","0","0","364.85","0","21.83","312211","10000","1","-3.33","0.49","12","0"
"16832","17.23","0","0","-370.58","0","18.92","313707","10000","1","6.17","0.61","12","0"
"16833","84.31","0","0","-382.3","0","22.1","315285","10000","1","1.48","0.47","12","0"
"16834","52.75","0","0","16.15","0","21.27","318085","10000","1","-3.95","0.57","12","0"
"16835","48.75","0","0","30.54","0","21.27","319710","10000","1","1.86","0.47","11.99","0"
"16836","29.3","0","0","-190.16","0","18.92","321082","10000","1","-3.08","0.57","12","0"
"16837","27.42","0","0","-124.96","0","22.19","322539","10000","1","1.02","0.64","12","0"
"16838","12.98","0","0","-171.51","0","22.19","324103","10000","1","0.91","0.74","11.64","0"
"16839","7.4","0","0","171.6","0","20.71","325304","10000","1","0.21","1.07","11.73","0"
"16840","32.14","0","0","-93.06","0","22.83","327001","10000","1","-0.38","0.75","12","0"
"16841","11.35","0","0","18.6","0","19.64","328543","10000","1","0.15","0.73","12","0"
"16842","45.92","0","0","-406.05","0","22.1","330085","10000","1","-0.57","1.24","11.21","0"
"16843","68.35","0","0","73.84","0","21.36","331658","10000","1","-1.38","0.45","12","0"
"16844","76.57","0","0","158.34","0","22.28","333859","10000","1","-0.93","0.53","12","0"
"16845","66.09","0","0","136.1","0","21.73","335335","10000","1","-1.97","0.6","12","0"
"16846","35.85","0","0","38.45","0","18.92","337102","10000","1","2.66","0.64","12","0"
"16847","25.67","0","0","-540.63","0","21.27","338851","10000","1","3.78","0.57","11.99","0"
"16848","42.99","0","0","-68.19","0","21.83","340129","10000","1","6.52","0.56","12","0"
"16849","61.84","0","0","205.97","0","22.28","341413","10000","1","1.27","0.65","12","0"
"16850","46.71","0","0","-187.14","0","20.9","342960","10000","1","3.43","0.43","12","0"
"16851","39.58","0","0","687.14","0","19.54","344242","10000","1","4.52","0.57","12","0"
"16852","26.15","0","0","-544.95","0","19.54","345747","10000","1","0.33","0.45","12","0"
"16853","38.47","0","0","-674.03","0","20.42","348187","10000","1","8.35","0.94","11.98","0"
"16854","65.42","0","0","-31.07","0","19.44","349900","10000","1","7.68","0.59","12","0"
"16855","51.49","0","0","-64.88","0","19.23","351150","10000","1","-1.03","0.2","12","0"
"16856","58.11","0","0","357.58","0","20.04","352578","10000","1","-4.57","0.54","12","0"
"16857","17.83","0","0","166.86","0","19.54","354102","10000","1","4.55","0.47","12","0"
"16858","34.15","0","0","-177.94","0","22.1","355386","10000","1","1.44","0.38","12","0"
"16859","48.2","0","0","-232.76","0","20.9","357707","10000","1","4.72","0.51","12","0"
"16860","71.93","0","0","-381.98","0","19.23","359615","10000","1","-3.9","0.4","12","0"
"16861","26.91","0","0","228.61","0","19.54","361136","10000","1","-0.09","0.61","12","0"
"16862","46.1","0","0","4.36","0","22.74","362872","10000","1","0.37","0.51","12","0"
"16863","35.11","0","0","340.41","0","19.34","364271","10000","1","-1.06","0.42","12","0"
"16864","52.06","0","0","-112.75","0","21.27","365728","10000","1","-4.42","0.5","11.99","0"
"16865","49.19","0","0","438.72","0","21.92","367745","10000","1","-4.87","0.71","12","0"
"16866","20.68","0","0","-298.02","0","21.73","369464","10000","1","-0.02","0.41","12","0"
"16867","22.64","0","0","-42.44","0","21.92","372207","10000","1","-2.17","0.47","12","0"
"16868","55.53","0","0","231.88","0","21.18","374093","10000","1","-2.93","0.43","12","0"
"16869","37.25","0","0","-110.46","0","22.01","375774","10000","1","-1.96","0","12","0"
"16870","42.8","0","0","64.09","0","22.37","378468","10000","1","-0.64","0.36","12","0"
"16871","42.47","0","0","514.05","0","20.13","380437","10000","1","-6.41","1.41","10.84","0"
"16872","48.15","0","0","-668.68","0","22.46","382118","10000","1","-6.65","0.64","12","0"
"16873","45.46","0","0","68.25","0","19.74","383609","10000","1","1.66","2.62","10.41","0"
"16874","54.01","0","0","88.41","0","19.84","385848","10000","1","-0.76","0.62","11.97","0"
"16875","5","0","0","-166.16","0","20.42","387987","10000","1","4.19","0.96","11.98","0"
"16876","1.51","0","0","-92","0","20.04","390043","10000","1","-0.89","0.83","11.82","0"
"16877","13.44","0","0","16.09","0","20.9","392122","10000","1","2.71","1.12","11.98","0"
"16878","-6.21","0","0","-84.49","0","21.92","483204","10000","1","-0.43","0","12","0"
"16879","-5.07","0","0","-91.53","0","23.46","485171","10000","1","-0.43","0","12","0"
